"epoch","hdb_early - _step","hdb_early - _step__MIN","hdb_early - _step__MAX","hdb_early - backbone_lr","hdb_early - backbone_lr__MIN","hdb_early - backbone_lr__MAX","hdb_early - transformer_lr","hdb_early - transformer_lr__MIN","hdb_early - transformer_lr__MAX","hdb_early - mIoU","hdb_early - mIoU__MIN","hdb_early - mIoU__MAX","hdb_early - loss_growsp","hdb_early - loss_growsp__MIN","hdb_early - loss_growsp__MAX","hdb_early - loss_tarl","hdb_early - loss_tarl__MIN","hdb_early - loss_tarl__MAX","hdb_early - train_loss","hdb_early - train_loss__MIN","hdb_early - train_loss__MAX"
"1","23.906976744186046","1","48","0.0004080855756596261","0.0003999999999999993","0.0004230805418166204","0.000008133434413833744","0.000008000238626579818","0.000008420629932421659","","","","571.5708494186401","571.5708494186401","571.5708494186401","395.3083610534668","395.3083610534668","395.3083610534668","769.2250299453735","769.2250299453735","769.2250299453735"
"2","70.69565217391305","49","96","0.00045310837626964893","0.000426332205506353","0.0005028248789696512","0.000009148210012052229","0.000008526644110127071","0.000010012663956515471","","","","568.7203187942505","568.7203187942505","568.7203187942505","354.9527735710144","354.9527735710144","354.9527735710144","746.1967055797577","746.1967055797577","746.1967055797577"
"3","123.3061224489796","98","144","0.0005731000943647669","0.0005072782846727384","0.0006319614212934657","0.000011303214888585611","0.000010145565693454813","0.000012639228425869337","","","","568.0897789001465","568.0897789001465","568.0897789001465","327.7428865432739","327.7428865432739","327.7428865432739","731.9612221717834","731.9612221717834","731.9612221717834"
"4","169.51923076923077","146","192","0.0007162997211878414","0.0006385803853858913","0.0008112173513737195","0.000014484168948433896","0.000013041805975953227","0.000016224347027474396","","","","567.3439502716064","567.3439502716064","567.3439502716064","303.61439085006714","303.61439085006714","303.61439085006714","719.15114569664","719.15114569664","719.15114569664"
"5","219.06382978723406","193","240","0.0009340592233869849","0.000815562403429157","0.0010386259175482835","0.000018593444922278788","0.00001648635752079985","0.000020772518350965704","","","","566.701548576355","566.701548576355","566.701548576355","282.82324981689453","282.82324981689453","282.82324981689453","708.1131734848022","708.1131734848022","708.1131734848022"
"6","264.037037037037","241","288","0.0011580150632674343","0.0010439702133239193","0.0013054264764369976","0.000023438556160546963","0.000020879404266478408","0.000026233840987189736","","","","565.8872146606445","565.8872146606445","565.8872146606445","262.46146869659424","262.46146869659424","262.46146869659424","697.1179490089417","697.1179490089417","697.1179490089417"
"7","315.6304347826087","289","336","0.0014862661787313396","0.0013179769525658806","0.0016274197328491266","0.000029657853243489003","0.000026485623096229914","0.00003254839465698255","","","","565.3881464004517","565.3881464004517","565.3881464004517","242.93174648284912","242.93174648284912","242.93174648284912","686.8540196418762","686.8540196418762","686.8540196418762"
"8","361.2692307692308","337","384","0.001820660209640959","0.0016345762870851079","0.001982344882081502","0.00003593124267062157","0.00003269152574170218","0.00003964689764163006","","","","565.0204563140869","565.0204563140869","565.0204563140869","225.25229740142822","225.25229740142822","225.25229740142822","677.646605014801","677.646605014801","677.646605014801"
"9","408.625","385","432","0.002184971948426414","0.0019902945674067085","0.002363931808032315","0.00004319741373013528","0.00003980589134813418","0.000047278636160646314","","","","564.8456325531006","564.8456325531006","564.8456325531006","209.29156947135925","209.29156947135925","209.29156947135925","669.4914172887802","669.4914172887802","669.4914172887802"
"10","458.30232558139534","433","481","0.002600311912513612","0.0023812289406724366","0.0027845690607913092","0.00005151408154541924","0.000047624578813448766","0.00005587647270532709","6.717594251690083","6.717594251690083","6.717594251690083","564.6385269165039","564.6385269165039","564.6385269165039","196.17363691329956","196.17363691329956","196.17363691329956","662.7253453731537","662.7253453731537","662.7253453731537"
